Date,NO2,O3,PM2.5,PM10
1/01/2000,11,41,6.3,16.6
2/01/2000,13,27,4.4,13.6
3/01/2000,17,61,6.2,18.3
4/01/2000,17,59,7.8,18.5
5/01/2000,19,51,4.5,19.1
6/01/2000,11,43,6.7,28.8
7/01/2000,9,35,6.6,24.4
8/01/2000,11,27,4.2,15.6
9/01/2000,15,33,4.5,14.6
10/01/2000,17,45,8.8,17.5
11/01/2000,17,33,3.8,14.5
12/01/2000,13,35,5.3,18.3
13/01/2000,15,37,5.8,19.7
14/01/2000,17,41,8.2,23.2
15/01/2000,17,59,12.9,30.2
16/01/2000,21,73,10.3,29.3
17/01/2000,21,39,6.3,18.2
18/01/2000,19,73,7.3,21.1
19/01/2000,23,114,19,46.1
20/01/2000,23,90,14.7,32.1
21/01/2000,24,67,14.4,62
22/01/2000,19,57,9.4,25.8
23/01/2000,17,47,5,17.2
24/01/2000,15,35,4.9,17.6
25/01/2000,24,27,6.5,18.6
26/01/2000,30,53,11.4,27.6
27/01/2000,28,49,7.4,19.1
28/01/2000,17,43,7.8,17.3
29/01/2000,21,57,6.9,21
30/01/2000,23,49,6.6,19.6
31/01/2000,17,55,10.6,22.7
1/02/2000,19,55,8.1,19.8
2/02/2000,19,79,14.5,25.8
3/02/2000,26,106,12.2,28.6
4/02/2000,30,139,13.6,34.3
5/02/2000,34,130,15.6,39.3
6/02/2000,21,49,13.3,35.8
7/02/2000,19,67,11.3,30.4
8/02/2000,23,77,12,30.4
9/02/2000,32,126,14.3,47.3
10/02/2000,36,155,19.4,37.1
11/02/2000,34,90,28,59.3
12/02/2000,26,67,14.9,40.8
13/02/2000,8,35,5.8,21.5
14/02/2000,13,37,4.5,15.4
15/02/2000,19,39,6,14.9
16/02/2000,21,61,11.9,22.4
17/02/2000,23,71,13.2,26.6
18/02/2000,23,75,13.9,32.2
19/02/2000,21,102,9.7,22.5
20/02/2000,51,102,14,30.7
21/02/2000,47,61,13.7,30.3
22/02/2000,17,41,5.9,25.1
23/02/2000,21,67,9.6,22
24/02/2000,21,53,8.9,23.7
25/02/2000,19,55,11,25.5
26/02/2000,23,124,12.6,34.1
27/02/2000,11,59,11,29.1
28/02/2000,23,61,9.1,30.5
29/02/2000,24,51,13.9,29.4
1/03/2000,23,61,10.9,23.5
2/03/2000,24,69,12.5,31.4
3/03/2000,34,106,13.7,25.7
4/03/2000,34,63,11.2,34.4
5/03/2000,34,51,11.5,26.3
6/03/2000,28,31,7.6,16.5
7/03/2000,17,35,7.3,20.7
8/03/2000,17,31,4.7,17.2
9/03/2000,38,55,10.1,21.2
10/03/2000,34,47,8.6,19.5
11/03/2000,36,43,6.1,14.5
12/03/2000,30,90,11.3,19.6
13/03/2000,28,49,7.9,18.7
14/03/2000,19,75,10.5,26.3
15/03/2000,36,33,11.3,30.7
16/03/2000,28,57,16.7,30.6
17/03/2000,26,65,13.4,24.4
18/03/2000,40,92,19.7,35.9
19/03/2000,34,69,12.3,33.1
20/03/2000,30,26,13.3,24.9
21/03/2000,26,26,4.3,18.5
22/03/2000,28,31,5,23.2
23/03/2000,26,35,8.6,19.9
24/03/2000,19,43,4.3,17.2
25/03/2000,24,45,4,15.9
26/03/2000,28,65,5.9,15.7
27/03/2000,34,77,11.9,24.9
28/03/2000,47,73,17.7,28.4
29/03/2000,34,61,12.9,26.2
30/03/2000,26,53,6.9,23
31/03/2000,55,106,16.2,38.9
1/04/2000,53,49,15,31.6
2/04/2000,28,27,12.6,24.2
3/04/2000,34,63,8.7,19.4
4/04/2000,38,26,11.1,28.6
5/04/2000,28,39,9.1,21.5
6/04/2000,21,41,5.9,18.3
7/04/2000,30,33,7.1,20.1
8/04/2000,26,39,6.9,16.2
9/04/2000,28,59,5.7,15.3
10/04/2000,43,75,13.7,25.4
11/04/2000,38,71,12.9,27.5
12/04/2000,45,51,12.7,27
13/04/2000,34,53,11.2,28.2
14/04/2000,30,47,11.3,22.4
15/04/2000,30,61,7,16
16/04/2000,32,47,10.4,20.3
17/04/2000,36,51,8.8,20.6
18/04/2000,41,41,9.4,24.2
19/04/2000,38,37,10.6,19.2
20/04/2000,45,61,14.8,27
21/04/2000,38,59,11.1,22
22/04/2000,28,49,6.1,19
23/04/2000,32,55,11.3,22.4
24/04/2000,30,57,8.7,21.7
25/04/2000,26,41,6.9,18.6
26/04/2000,26,41,9.9,23.8
27/04/2000,32,35,9,20.9
28/04/2000,32,39,9.5,24.3
29/04/2000,28,47,9.5,24.5
30/04/2000,34,49,7.4,19.7
1/05/2000,28,39,12.9,30.6
2/05/2000,32,27,5.9,17.5
3/05/2000,32,27,8.3,23
4/05/2000,24,18,6.1,17.8
5/05/2000,28,20,6.2,16
6/05/2000,24,43,4.9,19.7
7/05/2000,34,47,6.7,19.5
8/05/2000,41,45,6.4,21.3
9/05/2000,38,53,9.8,25.5
10/05/2000,36,33,6,18.2
11/05/2000,43,45,11.6,20.6
12/05/2000,43,43,13.1,20
13/05/2000,30,49,9.5,14.6
14/05/2000,26,45,5.9,12.7
15/05/2000,41,45,14.2,27.1
16/05/2000,40,35,16.5,23.5
17/05/2000,30,47,13.9,26
18/05/2000,40,49,21.1,32.5
19/05/2000,43,35,27.3,36.8
20/05/2000,32,43,25.2,29.7
21/05/2000,34,51,21.5,26.8
22/05/2000,45,39,22.3,38.6
23/05/2000,45,41,25.5,40.6
24/05/2000,43,35,24.3,40.4
25/05/2000,36,18,19.3,25.9
26/05/2000,34,43,10.1,19.9
27/05/2000,24,49,4,16.1
28/05/2000,13,53,4,13.2
29/05/2000,24,51,4.4,12.4
30/05/2000,26,49,8.2,11.9
31/05/2000,30,47,8.4,16.3
1/06/2000,28,47,14.2,23.5
2/06/2000,36,49,9.3,18.2
3/06/2000,38,47,28.8,38.7
4/06/2000,32,33,25.7,33.9
5/06/2000,23,49,14.6,20.2
6/06/2000,34,47,13.7,22.7
7/06/2000,40,43,21.7,35.2
8/06/2000,41,39,21.7,33.9
9/06/2000,34,39,23.6,30.1
10/06/2000,40,41,15.8,27.1
11/06/2000,30,43,12.8,25.9
12/06/2000,30,47,4.9,10.5
13/06/2000,40,39,8.9,18.9
14/06/2000,40,43,16.9,25.4
15/06/2000,36,33,27.1,31.9
16/06/2000,34,37,27.3,34.2
17/06/2000,36,29,27,37
18/06/2000,28,45,23,30.7
19/06/2000,36,29,15.9,26.1
20/06/2000,24,18,16,21.5
21/06/2000,30,39,11.5,18.1
22/06/2000,30,49,13,19.8
23/06/2000,26,43,8.6,14.9
24/06/2000,32,41,26.2,33.2
25/06/2000,43,43,23.4,30.9
26/06/2000,45,45,26,33.9
27/06/2000,34,14,23.4,28.4
28/06/2000,32,39,13.8,20.1
29/06/2000,23,37,13.2,16.6
30/06/2000,17,45,2.7,10.9
1/07/2000,11,47,3.2,13.1
2/07/2000,24,51,6.8,13.7
3/07/2000,36,41,9.7,15.8
4/07/2000,40,27,13.5,22.2
5/07/2000,41,49,19.2,26.6
6/07/2000,40,37,18.2,28.5
7/07/2000,40,31,24.5,34.7
8/07/2000,30,45,21.1,24.6
9/07/2000,34,47,22.2,24.8
10/07/2000,41,41,21,31.5
11/07/2000,36,47,10.8,23.2
12/07/2000,45,49,18.7,30.4
13/07/2000,40,53,16.1,29.9
14/07/2000,47,53,26.8,39.1
15/07/2000,38,47,24.6,31.8
16/07/2000,34,53,10.9,18.8
17/07/2000,23,51,5.2,15.6
18/07/2000,41,47,19.9,26.9
19/07/2000,28,47,20.8,24.1
20/07/2000,36,49,14,22.3
21/07/2000,32,51,10.5,20.1
22/07/2000,36,53,17.7,24.3
23/07/2000,41,57,19.2,31.1
24/07/2000,32,49,18.3,24.9
25/07/2000,40,45,18.9,27.3
26/07/2000,30,55,7.6,11.3
27/07/2000,28,55,8.4,11.5
28/07/2000,45,51,7.3,14
29/07/2000,43,55,22.4,26.2
30/07/2000,45,55,22.9,27.6
31/07/2000,55,47,19.4,27.6
1/08/2000,47,47,22.8,27
2/08/2000,66,47,23.8,32.4
3/08/2000,49,65,23.1,31.4
4/08/2000,53,59,17,26.3
5/08/2000,45,53,14.3,22.2
6/08/2000,40,43,12.3,16.3
7/08/2000,41,43,12.6,18
8/08/2000,32,29,11.9,22.2
9/08/2000,28,57,3.8,9.8
10/08/2000,30,57,13.8,21.3
11/08/2000,43,57,13,25
12/08/2000,38,61,16.4,26.5
13/08/2000,38,33,15.5,23.4
14/08/2000,23,51,4.8,8.3
15/08/2000,28,39,7.8,14.7
16/08/2000,36,53,9.9,18.3
17/08/2000,40,55,7.3,19.5
18/08/2000,36,47,7,22
19/08/2000,41,61,13.8,22.2
20/08/2000,38,63,15.2,23.5
21/08/2000,36,55,15.7,25.3
22/08/2000,36,55,15.1,25.7
23/08/2000,36,55,13.7,22.8
24/08/2000,30,49,10.4,19.3
25/08/2000,34,49,8.5,16.1
26/08/2000,26,55,9.9,19.1
27/08/2000,30,55,10.2,17.3
28/08/2000,28,47,11.5,18.4
29/08/2000,28,55,8.8,17.4
30/08/2000,34,59,11.1,19.6
31/08/2000,28,61,10.8,16.7
1/09/2000,36,59,14.4,26.8
2/09/2000,26,53,6.4,10.3
3/09/2000,24,55,6.3,13.9
4/09/2000,30,61,15.5,26.5
5/09/2000,28,61,7.6,27.2
6/09/2000,32,59,15.9,22.6
7/09/2000,47,27,21.9,32.4
8/09/2000,24,53,8.2,14.9
9/09/2000,23,59,8,16.5
10/09/2000,32,61,8.9,18.9
11/09/2000,28,61,8,17
12/09/2000,36,61,11.1,23.7
13/09/2000,40,69,12,24.4
14/09/2000,45,84,15,30.9
15/09/2000,45,59,16.1,39.9
16/09/2000,30,73,8.5,26.7
17/09/2000,43,84,14.8,31.1
18/09/2000,41,71,20.6,44.4
19/09/2000,40,75,13,30.2
20/09/2000,40,71,21.4,43.7
21/09/2000,56,92,28.5,52.6
22/09/2000,43,84,15.8,39.7
23/09/2000,43,80,12.7,28.6
24/09/2000,30,73,16.1,29.8
25/09/2000,24,43,3.8,15.5
26/09/2000,30,31,9.3,20.2
27/09/2000,38,96,12.8,25.6
28/09/2000,47,86,16.7,30.3
29/09/2000,34,90,18.3,31.3
30/09/2000,26,79,10.4,23.6
1/10/2000,17,63,5,22.2
2/10/2000,17,67,5.5,14.3
3/10/2000,36,75,10.5,22.6
4/10/2000,36,104,18.6,27.9
5/10/2000,43,114,36.2,46.3
6/10/2000,56,108,44.9,50.1
7/10/2000,56,120,29.1,47.1
8/10/2000,49,98,23,40.6
9/10/2000,28,49,3.7,15.8
10/10/2000,24,69,5.5,12.8
11/10/2000,23,57,8.6,23.9
12/10/2000,28,69,7,24.9
13/10/2000,28,37,10.7,21.9
14/10/2000,15,57,3.9,11.1
15/10/2000,19,53,5.1,14.5
16/10/2000,23,69,6.4,18.5
17/10/2000,15,49,4.3,16.2
18/10/2000,21,47,6.2,21.5
19/10/2000,26,51,5.6,11.8
20/10/2000,23,57,5.4,16.8
21/10/2000,21,63,4.8,16.6
22/10/2000,26,65,4.9,15.5
23/10/2000,26,75,11.2,23.1
24/10/2000,28,35,9.7,28.3
25/10/2000,28,77,3.9,10.8
26/10/2000,34,63,7.3,19.4
27/10/2000,36,69,9.5,20.5
28/10/2000,13,59,6.8,21.7
29/10/2000,28,67,6.3,19.8
30/10/2000,28,43,8.6,19.9
31/10/2000,28,47,6.2,17
1/11/2000,26,55,6.6,16.6
2/11/2000,28,47,12.4,25
3/11/2000,30,67,9.1,22.7
4/11/2000,28,75,5,14.7
5/11/2000,19,63,6.9,25.1
6/11/2000,21,63,7.5,15.2
7/11/2000,17,49,4.5,14.7
8/11/2000,23,63,8.7,21
9/11/2000,26,57,12.6,24.4
10/11/2000,23,65,11.3,22.9
11/11/2000,19,51,5.9,20.3
12/11/2000,28,61,7.2,20.6
13/11/2000,28,57,9.3,16
14/11/2000,17,39,4.6,15.3
15/11/2000,28,35,4.4,10.7
16/11/2000,28,29,8,16.4
17/11/2000,32,53,11.1,17.7
18/11/2000,30,47,10.8,20.4
19/11/2000,26,47,4.8,10.9
20/11/2000,15,61,4.4,13.3
21/11/2000,21,47,4.1,13.3
22/11/2000,24,65,10.5,22.3
23/11/2000,34,92,10.8,27.1
24/11/2000,21,59,10.3,23.8
25/11/2000,15,65,5.2,15.8
26/11/2000,19,94,9.7,25
27/11/2000,24,88,13.4,27
28/11/2000,21,92,13.3,30.8
29/11/2000,30,59,15.1,39
30/11/2000,38,116,13.1,24.4
1/12/2000,26,49,5,13.3
2/12/2000,19,53,5.4,17.2
3/12/2000,19,75,6.1,18.1
4/12/2000,21,67,10.8,23.1
5/12/2000,26,75,10.5,24.2
6/12/2000,26,75,10.3,28.4
7/12/2000,26,65,13.2,24.7
8/12/2000,26,88,10.3,23.4
9/12/2000,23,51,7.9,21
10/12/2000,23,80,7.9,24.7
11/12/2000,38,128,18.3,38.2
12/12/2000,36,104,19.9,42.6
13/12/2000,30,100,17.5,36.5
