Date,NO2,O3,PM2.5,PM10,Date_raw,PM2.5_%ER,PM10_%ER,NO2_%ER,O3_%ER,PMmax_%ER,PMmax_source,LP_PM2.5,LP_PM10,LP_NO2,LP_O3,LP_PMmax,LP_total,Total_%ER,AQHI_Band
2000-01-01,11,41,6.3,16.6,1/01/2000,0.4097070137617731,0.6812500225478413,0.7929271475156652,1.7744597389271588,0.6812500225478413,PM10,0.0040887,0.006789400000000001,0.007898,0.017589,0.006789400000000001,0.032276400000000004,3.280293258781808,Low
2000-02-01,13,27,4.4,13.6,2/01/2000,0.285968110942747,0.5577898870527065,0.9377697630074788,1.165034270350973,0.5577898870527065,PM10,0.0028556,0.0055624,0.009334,0.011583000000000001,0.0055624,0.0264794,2.683309428206493,Low
2000-03-01,17,61,6.2,18.3,3/01/2000,0.4031906352353509,0.7512780381069284,1.228079723320863,2.6514414751221738,0.7512780381069284,PM10,0.0040238,0.0074847,0.012206,0.026169,0.0074847,0.0458597,4.692751672195139,Low
2000-04-01,17,59,7.8,18.5,4/01/2000,0.5075034582355142,0.7595198297351224,1.228079723320863,2.5634043116804506,0.7595198297351224,PM10,0.005062199999999999,0.0075665,0.012206,0.025311,0.0075665,0.0450835,4.611520688170478,Low
2000-05-01,19,51,4.5,19.1,5/01/2000,0.29247688148046347,0.7842492500770959,1.3735476667895652,2.212010045555113,0.7842492500770959,PM10,0.0029205,0.007811900000000001,0.013642,0.021879000000000003,0.007811900000000001,0.04333290000000001,4.428547962808449,Low
2000-06-01,11,43,6.7,28.8,6/01/2000,0.4357767574088456,1.1848847973478405,0.7929271475156652,1.8618196974460988,1.1848847973478405,PM10,0.004348299999999999,0.0117792,0.007898,0.018447,0.0117792,0.0381242,3.8860251309499994,Low
2000-07-01,9,35,6.6,24.4,7/01/2000,0.42925868701095826,1.0029562270929437,0.6482923767514581,1.5128291425889007,1.0029562270929437,PM10,0.0042834,0.0099796,0.006462,0.015015,0.0099796,0.0314566,3.195658770784937,Low
2000-08-01,11,27,4.2,15.6,8/01/2000,0.272951837056401,0.6400798111707573,0.7929271475156652,1.165034270350973,0.6400798111707573,PM10,0.0027258,0.0063804000000000005,0.007898,0.011583000000000001,0.0063804000000000005,0.0258614,2.619870747551256,Low
2000-09-01,15,33,4.5,14.6,9/01/2000,0.29247688148046347,0.5989264349671064,1.0828205219063136,1.4257684895456313,0.5989264349671064,PM10,0.0029205,0.0059714,0.01077,0.014157000000000001,0.0059714,0.0308984,3.13807102829331,Low
2000-10-01,17,45,8.8,17.5,10/01/2000,0.5727539994902386,0.7183176125525215,1.228079723320863,1.949254642974263,0.7183176125525215,PM10,0.0057112,0.007157500000000001,0.012206,0.019305,0.007157500000000001,0.038668499999999995,3.942585685987421,Low
2000-11-01,17,33,3.8,14.5,11/01/2000,0.2469243572725377,0.5948120230162113,1.228079723320863,1.4257684895456313,0.5948120230162113,PM10,0.0024661999999999996,0.0059305,0.012206,0.014157000000000001,0.0059305,0.0322935,3.282059366896717,Low
2000-12-01,13,35,5.3,18.3,12/01/2000,0.3445622556704109,0.7512780381069284,0.9377697630074788,1.5128291425889007,0.7512780381069284,PM10,0.0034396999999999995,0.0074847,0.009334,0.015015,0.0074847,0.0318337,3.234581192068675,Low
2000-01-13,15,37,5.8,19.7,13/01/2000,0.377129349847638,0.8089847397635186,1.0828205219063136,1.5999645257271045,0.8089847397635186,PM10,0.0037641999999999997,0.0080573,0.01077,0.015873,0.0080573,0.0347003,3.530938007797779,Low
2000-01-14,17,41,8.2,23.2,14/01/2000,0.5335985931352427,0.9533961392170998,1.228079723320863,1.7744597389271588,0.9533961392170998,PM10,0.005321799999999999,0.0094888,0.012206,0.017589,0.0094888,0.0392838,4.006561239020501,Low
2000-01-15,17,59,12.9,30.2,15/01/2000,0.8407244037206052,1.2428398533318452,1.228079723320863,2.5634043116804506,1.2428398533318452,PM10,0.0083721,0.0123518,0.012206,0.025311,0.0123518,0.0498688,5.113317865577982,Low
2000-01-16,21,73,10.3,29.3,16/01/2000,0.670709247489687,1.205579222221731,1.5192246522813146,3.1812536623204934,1.205579222221731,PM10,0.0066847,0.011983700000000002,0.015078,0.031317000000000005,0.011983700000000002,0.058378700000000006,6.011638577757528,Low
2000-01-17,21,39,6.3,18.2,17/01/2000,0.4097070137617731,0.7471573951028931,1.5192246522813146,1.6871747031061979,0.7471573951028931,PM10,0.0040887,0.0074438,0.015078,0.016731,0.0074438,0.039252800000000004,4.003337085596725,Low
2000-01-18,19,73,7.3,21.1,18/01/2000,0.47489406452358995,0.8667244937394791,1.3735476667895652,3.1812536623204934,0.8667244937394791,PM10,0.004737699999999999,0.008629900000000001,0.013642,0.031317000000000005,0.008629900000000001,0.05358890000000001,5.505078161305632,Low
2000-01-19,23,114,19.0,46.1,19/01/2000,1.2407340241636033,1.9033776088605014,1.6651109801961494,5.012163466678676,1.9033776088605014,PM10,0.012330999999999998,0.0188549,0.016514,0.048906000000000005,0.0188549,0.08427490000000001,8.792792409156336,Moderate
2000-01-20,23,90,14.7,32.1,20/01/2000,0.958595372997384,1.321546241588245,1.6651109801961494,3.936505222580089,1.321546241588245,PM10,0.009540299999999998,0.0131289,0.016514,0.03861,0.0131289,0.0682529,7.06360380976061,Low
2000-01-21,24,67,14.4,62.0,21/01/2000,0.9389406479278328,2.5682249049661543,1.7381327415552095,2.9160066347670988,2.5682249049661543,PM10,0.009345599999999999,0.025358000000000002,0.017232,0.028743,0.025358000000000002,0.07133300000000001,7.393878794735365,Low
2000-01-22,19,57,9.4,25.8,22/01/2000,0.6119246559294966,1.0608070809474013,1.3735476667895652,2.4754426517293426,1.0608070809474013,PM10,0.006100599999999999,0.010552200000000001,0.013642,0.024453000000000003,0.010552200000000001,0.0486472,4.984989835193088,Low
2000-01-23,17,47,5.0,17.2,23/01/2000,0.32502707121115915,0.7059602331221937,1.228079723320863,2.036764639878119,0.7059602331221937,PM10,0.0032449999999999996,0.0070348,0.012206,0.020163,0.0070348,0.0394038,4.019042775246384,Low
2000-01-24,15,35,4.9,17.6,24/01/2000,0.3185161882346854,0.7224370759853382,1.0828205219063136,1.5128291425889007,0.7224370759853382,PM10,0.0031801,0.007198400000000001,0.01077,0.015015,0.007198400000000001,0.0329834,3.35333824447559,Low
2000-01-25,24,27,6.5,18.6,25/01/2000,0.42274103962212095,0.7636409783730702,1.7381327415552095,1.165034270350973,0.7636409783730702,PM10,0.0042185,0.007607400000000001,0.017232,0.011583000000000001,0.007607400000000001,0.0364224,3.7093822414484556,Low
2000-01-26,30,53,11.4,27.6,26/01/2000,0.7426037265023,1.135235440838045,2.177366046639251,2.299745583337587,1.135235440838045,PM10,0.0073986,0.0112884,0.02154,0.022737,0.0112884,0.0555654,5.713815164681546,Low
2000-01-27,28,49,7.4,19.1,27/01/2000,0.4814150967535902,0.7842492500770959,2.0307446483558644,2.124349752579402,0.7842492500770959,PM10,0.0048026,0.007811900000000001,0.020104,0.021021,0.007811900000000001,0.048936900000000005,5.015408392663634,Low
2000-01-28,17,43,7.8,17.3,28/01/2000,0.5075034582355142,0.7100791911278437,1.228079723320863,1.8618196974460988,0.7100791911278437,PM10,0.005062199999999999,0.007075700000000001,0.012206,0.018447,0.007075700000000001,0.037728700000000004,3.8449463318786847,Low
2000-01-29,21,57,6.9,21.0,29/01/2000,0.4488141673415713,0.8625991290719615,1.5192246522813146,2.4754426517293426,0.8625991290719615,PM10,0.0044781,0.008589000000000001,0.015078,0.024453000000000003,0.008589000000000001,0.04812,4.929656335744026,Low
2000-01-30,23,49,6.6,19.6,30/01/2000,0.42925868701095826,0.804861736603657,1.6651109801961494,2.124349752579402,0.804861736603657,PM10,0.0042834,0.008016400000000002,0.016514,0.021021,0.008016400000000002,0.045551400000000006,4.660479871808265,Low
2000-01-31,17,55,10.6,22.7,31/01/2000,0.6903117428211702,0.9327532805108785,1.228079723320863,2.3875564305146035,0.9327532805108785,PM10,0.006879399999999999,0.0092843,0.012206,0.023595,0.0092843,0.0450853,4.611708989077168,Low
2000-01-02,19,55,8.1,19.8,1/02/2000,0.5270741743062191,0.8131079115576645,1.3735476667895652,2.3875564305146035,0.8131079115576645,PM10,0.005256899999999999,0.0080982,0.013642,0.023595,0.0080982,0.045335200000000006,4.637854721926793,Low
2000-02-02,19,79,14.5,25.8,2/02/2000,0.9454917977584021,1.0608070809474013,1.3735476667895652,3.4471843151711035,1.0608070809474013,PM10,0.009410499999999999,0.010552200000000001,0.013642,0.033891000000000004,0.010552200000000001,0.058085200000000003,5.980528727428802,Low
2000-03-02,26,106,12.2,28.6,3/02/2000,0.7949228672307518,1.1766082122883548,1.8843336472990524,4.652379464155998,1.1766082122883548,PM10,0.0079178,0.011697400000000002,0.018668,0.045474,0.011697400000000002,0.0758394,7.878930668162498,Low
2000-04-02,30,139,13.6,34.3,4/02/2000,0.8865467525756454,1.4127563981919167,2.177366046639251,6.144480114115658,1.4127563981919167,PM10,0.0088264,0.0140287,0.02154,0.059631,0.0140287,0.0951997,9.987847892817836,Moderate
2000-05-02,34,130,15.6,39.3,5/02/2000,1.017582514072246,1.6203576849925128,2.471241244710054,5.735446424066604,1.6203576849925128,PM10,0.010124399999999999,0.0160737,0.024412,0.05577,0.0160737,0.0962557,10.10405640748937,Moderate
2000-06-02,21,49,13.3,35.8,6/02/2000,0.8669060540069662,1.4749922131264137,1.5192246522813146,2.124349752579402,1.4749922131264137,PM10,0.008631699999999999,0.0146422,0.015078,0.021021,0.0146422,0.0507412,5.205058735632906,Low
2000-07-02,19,67,11.3,30.4,7/02/2000,0.7360657436803031,1.2511218563611592,1.3735476667895652,2.9160066347670988,1.2511218563611592,PM10,0.007333699999999999,0.0124336,0.013642,0.028743,0.0124336,0.054818599999999995,5.63489755901827,Low
2000-08-02,23,77,12.0,30.4,8/02/2000,0.781840535304279,1.2511218563611592,1.6651109801961494,3.35846469718748,1.2511218563611592,PM10,0.007788,0.0124336,0.016514,0.033033,0.0124336,0.0619806,6.3941704058761095,Low
2000-09-02,32,126,14.3,47.3,9/02/2000,0.9323899232531074,1.9534040620783344,2.3241981444966697,5.554159986252061,1.9534040620783344,PM10,0.0092807,0.0193457,0.022976,0.054054000000000005,0.0193457,0.09637570000000001,10.117269687039187,Moderate
2000-10-02,36,155,19.4,37.1,10/02/2000,1.2670195304273602,1.5289608127669219,2.6184956504964108,6.8755620283712515,1.5289608127669219,PM10,0.012590599999999999,0.0151739,0.025848,0.066495,0.0151739,0.1075169,11.350967890109565,Moderate
2000-11-02,34,90,28.0,59.3,11/02/2000,1.833811548326314,2.455021331061036,2.471241244710054,3.936505222580089,2.455021331061036,PM10,0.018171999999999997,0.0242537,0.024412,0.03861,0.0242537,0.0872757,9.119748139648198,Moderate
2000-12-02,26,67,14.9,40.8,12/02/2000,0.971700649190832,1.6827209023931422,1.8843336472990524,2.9160066347670988,1.6827209023931422,PM10,0.0096701,0.0166872,0.018668,0.028743,0.0166872,0.06409820000000001,6.619709417552433,Low
2000-02-13,8,35,5.8,21.5,13/02/2000,0.377129349847638,0.8832276397871874,0.5760528399221254,1.5128291425889007,0.8832276397871874,PM10,0.0037641999999999997,0.008793500000000001,0.005744,0.015015,0.008793500000000001,0.029552500000000002,2.9993508711664063,Low
2000-02-14,13,37,4.5,15.4,14/02/2000,0.29247688148046347,0.6318477893364927,0.9377697630074788,1.5999645257271045,0.6318477893364927,PM10,0.0029205,0.0062986000000000006,0.009334,0.015873,0.0062986000000000006,0.0315056,3.200715481953109,Low
2000-02-15,19,39,6.0,14.9,15/02/2000,0.3901591468527865,0.6112706805446511,1.3735476667895652,1.6871747031061979,0.6112706805446511,PM10,0.003894,0.006094100000000001,0.013642,0.016731,0.006094100000000001,0.0364671,3.714018154446519,Low
2000-02-16,21,61,11.9,22.4,16/02/2000,0.7753000060960025,0.9203695914382193,1.5192246522813146,2.6514414751221738,0.9203695914382193,PM10,0.007723099999999999,0.0091616,0.015078,0.026169,0.0091616,0.0504086,5.170073351489335,Low
2000-02-17,23,71,13.2,26.6,17/02/2000,0.8603600042256909,1.0938795873912666,1.6651109801961494,3.0927621149807294,1.0938795873912666,PM10,0.0085668,0.010879400000000001,0.016514,0.030459,0.010879400000000001,0.0578524,5.955859331970115,Low
2000-02-18,23,75,13.9,32.2,18/02/2000,0.9061912755606416,1.3256903775765272,1.6651109801961494,3.2698211679893507,1.3256903775765272,PM10,0.009021099999999999,0.013169800000000002,0.016514,0.032175,0.013169800000000002,0.061858800000000005,6.381212385080159,Low
2000-02-19,21,102,9.7,22.5,19/02/2000,0.6315157047867226,0.9244973189659556,1.5192246522813146,4.472949975526586,0.9244973189659556,PM10,0.006295299999999999,0.0092025,0.015078,0.043758000000000005,0.0092025,0.0680385,7.040651833643552,Low
2000-02-20,51,102,14.0,30.7,20/02/2000,0.9127402998879486,1.2635461312266116,3.7296697806715295,4.472949975526586,1.2635461312266116,PM10,0.009085999999999999,0.012556300000000001,0.036618,0.043758000000000005,0.012556300000000001,0.0929323,9.738743962354036,Moderate
2000-02-21,47,61,13.7,30.3,21/02/2000,0.893094501932068,1.2469807701630309,3.4321855608813845,2.6514414751221738,1.2469807701630309,PM10,0.0088913,0.012392700000000001,0.033746,0.026169,0.012392700000000001,0.0723077,7.498606639220284,Low
2000-02-22,17,41,5.9,25.1,22/02/2000,0.38364403694175486,1.031877513345325,1.228079723320863,1.7744597389271588,1.031877513345325,PM10,0.0038290999999999998,0.010265900000000001,0.012206,0.017589,0.010265900000000001,0.0400609,4.087416149866052,Low
2000-02-23,21,67,9.6,22.0,23/02/2000,0.6249849313433753,0.9038603694642378,1.5192246522813146,2.9160066347670988,0.9038603694642378,PM10,0.0062304,0.008998,0.015078,0.028743,0.008998,0.052819000000000005,5.4238810624632094,Low
2000-02-24,21,53,8.9,23.7,24/02/2000,0.5792813830361121,0.9740432198195981,1.5192246522813146,2.299745583337587,0.9740432198195981,PM10,0.0057761,0.0096933,0.015078,0.022737,0.0096933,0.0475083,4.865490492087532,Low
2000-02-25,19,55,11.0,25.5,25/02/2000,0.7164543409120094,1.04840768063732,1.3735476667895652,2.3875564305146035,1.04840768063732,PM10,0.0071389999999999995,0.010429500000000001,0.013642,0.023595,0.010429500000000001,0.0476665,4.882081524999471,Low
2000-02-26,23,124,12.6,34.1,26/02/2000,0.8210926258947815,1.4044611739978397,1.6651109801961494,5.463633358460718,1.4044611739978397,PM10,0.0081774,0.013946900000000002,0.016514,0.053196,0.013946900000000002,0.0836569,8.725579234457669,Moderate
