Year,Population,"Death rate per 100,000 used",Annual baseline deaths,Daily baseline deaths
2000,3780000,628.2,23745.96,64.87967213114754
2001,3761000,593.5,22321.535,61.154890410958906
2002,3789000,599.2,22703.688,62.20188493150685
2003,3817000,586.4,22382.888,61.3229808219178
2004,3846000,574.6,22099.116,60.380098360655744
2005,3875000,548.3,21246.624999999996,58.20993150684931
2006,3904000,547.3,21366.591999999997,58.53860821917807
2007,3968000,543.5,21566.08,59.08515068493151
2008,4033000,540.8,21810.464,59.59143169398907
2009,4099000,517.7,21220.523,58.138419178082195
2010,4166000,504.5,21017.47,57.582109589041096
2011,4234000,539.6,22846.664,62.5936
2012,4310000,522.6,22524.06,61.54114754098361
2013,4386000,481.2,21105.432,57.82310136986302
2014,4465000,498.1,22240.165,60.93195890410959
2015,4544000,475.0,21584.0,59.134246575342466
2016,4625000,448.6,20747.75,56.68784153005465
2017,4708000,468.1,22038.148,60.37848767123288
2018,4792000,428.8,20548.096,56.29615342465754
2019,4859000,449.3,21831.487,59.81229315068494
2020,4926000,433.4,21349.284,58.331377049180325
2021,4992000,451.9,22558.848,61.805063013698636
2022,5057000,504.4,25507.508,69.88358356164385
2023,5121000,496.8,25441.128,69.7017205479452
2024,5185000,489.4,25375.39,69.33166666666666
2025,5249000,482.0,25300.18,69.31556164383562
